university_name,city,province,program_name,level,field,fee_per_year,apply_url,website_url,fest_bucket
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,MS Computer Science,Masters,IT,92000,https://www.duet.edu.pk/admissions,,IT/CS
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,PhD Computer Science,PhD,IT,92000,https://www.duet.edu.pk/admissions,,IT/CS
FAST-NUCES Karachi,Karachi,Sindh,BE Electrical Engineering,Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,BE Mechanical Engineering,Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,BE Civil Engineering,Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,MS Electrical Engineering,Masters,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,PhD Engineering,PhD,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,BS Computer Science,Bachelors,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Karachi,Karachi,Sindh,BS Software Engineering,Bachelors,IT,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Karachi,Karachi,Sindh,BS Data Science,Bachelors,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Karachi,Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Karachi,Karachi,Sindh,MS Computer Science,Masters,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Karachi,Karachi,Sindh,PhD Computer Science,PhD,IT,459999,https://nu.edu.pk/admissions,,IT/CS
Institute of Business Management (IoBM/CBM),Karachi,Sindh,BS Computer Science,Bachelors,IT,546250,https://admissions.iobm.edu.pk/,,IT/CS
Institute of Business Management (IoBM/CBM),Karachi,Sindh,BS Software Engineering,Bachelors,IT,546250,https://admissions.iobm.edu.pk/,,Engineering
Institute of Business Management (IoBM/CBM),Karachi,Sindh,BS Data Science,Bachelors,IT,546250,https://admissions.iobm.edu.pk/,,IT/CS
Institute of Business Management (IoBM/CBM),Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,546250,https://admissions.iobm.edu.pk/,,IT/CS
Institute of Business Management (IoBM/CBM),Karachi,Sindh,MS Computer Science,Masters,IT,546250,https://admissions.iobm.edu.pk/,,IT/CS
Institute of Business Management (IoBM/CBM),Karachi,Sindh,PhD Computer Science,PhD,IT,546250,https://admissions.iobm.edu.pk/,,IT/CS
SZABIST Karachi,Karachi,Sindh,BE Electrical Engineering,Bachelors,Engineering,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,BE Mechanical Engineering,Bachelors,Engineering,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,BE Civil Engineering,Bachelors,Engineering,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,MS Electrical Engineering,Masters,Engineering,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,PhD Engineering,PhD,Engineering,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,BS Computer Science,Bachelors,IT,431249,https://szabist.edu.pk/admissions,,IT/CS
SZABIST Karachi,Karachi,Sindh,BS Software Engineering,Bachelors,IT,431249,https://szabist.edu.pk/admissions,,Engineering
SZABIST Karachi,Karachi,Sindh,BS Data Science,Bachelors,IT,431249,https://szabist.edu.pk/admissions,,IT/CS
SZABIST Karachi,Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,431249,https://szabist.edu.pk/admissions,,IT/CS
SZABIST Karachi,Karachi,Sindh,MS Computer Science,Masters,IT,431249,https://szabist.edu.pk/admissions,,IT/CS
SZABIST Karachi,Karachi,Sindh,PhD Computer Science,PhD,IT,431249,https://szabist.edu.pk/admissions,,IT/CS
PAF-KIET,Karachi,Sindh,BS Computer Science,Bachelors,IT,276000,https://admissions.pafkiet.edu.pk/,,IT/CS
PAF-KIET,Karachi,Sindh,BS Software Engineering,Bachelors,IT,276000,https://admissions.pafkiet.edu.pk/,,Engineering
PAF-KIET,Karachi,Sindh,BS Data Science,Bachelors,IT,276000,https://admissions.pafkiet.edu.pk/,,IT/CS
PAF-KIET,Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,276000,https://admissions.pafkiet.edu.pk/,,IT/CS
PAF-KIET,Karachi,Sindh,MS Computer Science,Masters,IT,276000,https://admissions.pafkiet.edu.pk/,,IT/CS
PAF-KIET,Karachi,Sindh,PhD Computer Science,PhD,IT,276000,https://admissions.pafkiet.edu.pk/,,IT/CS
DHA Suffa University (DSU),Karachi,Sindh,BE Electrical Engineering,Bachelors,Engineering,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,BE Mechanical Engineering,Bachelors,Engineering,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,BE Civil Engineering,Bachelors,Engineering,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,MS Electrical Engineering,Masters,Engineering,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,PhD Engineering,PhD,Engineering,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,BS Computer Science,Bachelors,IT,356500,https://www.dsu.edu.pk/admissions,,IT/CS
DHA Suffa University (DSU),Karachi,Sindh,BS Software Engineering,Bachelors,IT,356500,https://www.dsu.edu.pk/admissions,,Engineering
DHA Suffa University (DSU),Karachi,Sindh,BS Data Science,Bachelors,IT,356500,https://www.dsu.edu.pk/admissions,,IT/CS
DHA Suffa University (DSU),Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,356500,https://www.dsu.edu.pk/admissions,,IT/CS
DHA Suffa University (DSU),Karachi,Sindh,MS Computer Science,Masters,IT,356500,https://www.dsu.edu.pk/admissions,,IT/CS
DHA Suffa University (DSU),Karachi,Sindh,PhD Computer Science,PhD,IT,356500,https://www.dsu.edu.pk/admissions,,IT/CS
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BE Electrical Engineering,Bachelors,Engineering,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BE Mechanical Engineering,Bachelors,Engineering,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BE Civil Engineering,Bachelors,Engineering,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,MS Electrical Engineering,Masters,Engineering,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,PhD Engineering,PhD,Engineering,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BS Computer Science,Bachelors,IT,322000,https://www.jinnah.edu.pk/admissions,,IT/CS
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BS Software Engineering,Bachelors,IT,322000,https://www.jinnah.edu.pk/admissions,,Engineering
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BS Data Science,Bachelors,IT,322000,https://www.jinnah.edu.pk/admissions,,IT/CS
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,322000,https://www.jinnah.edu.pk/admissions,,IT/CS
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,MS Computer Science,Masters,IT,322000,https://www.jinnah.edu.pk/admissions,,IT/CS
Mohammad Ali Jinnah University (MAJU),Karachi,Sindh,PhD Computer Science,PhD,IT,322000,https://www.jinnah.edu.pk/admissions,,IT/CS
Iqra University,Karachi,Sindh,BS Computer Science,Bachelors,IT,258749,https://iqra.edu.pk/admissions,http://www.iqra.edu.pk/,IT/CS
Iqra University,Karachi,Sindh,BS Software Engineering,Bachelors,IT,258749,https://iqra.edu.pk/admissions,http://www.iqra.edu.pk/,Engineering
Iqra University,Karachi,Sindh,BS Data Science,Bachelors,IT,258749,https://iqra.edu.pk/admissions,http://www.iqra.edu.pk/,IT/CS
Iqra University,Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,258749,https://iqra.edu.pk/admissions,http://www.iqra.edu.pk/,IT/CS
Iqra University,Karachi,Sindh,MS Computer Science,Masters,IT,258749,https://iqra.edu.pk/admissions,http://www.iqra.edu.pk/,IT/CS
Iqra University,Karachi,Sindh,PhD Computer Science,PhD,IT,258749,https://iqra.edu.pk/admissions,http://www.iqra.edu.pk/,IT/CS
Bahria University Karachi Campus,Karachi,Sindh,BS Computer Science,Bachelors,IT,345000,https://bahria.edu.pk/admissions,,IT/CS
Bahria University Karachi Campus,Karachi,Sindh,BS Software Engineering,Bachelors,IT,345000,https://bahria.edu.pk/admissions,,Engineering
Bahria University Karachi Campus,Karachi,Sindh,BS Data Science,Bachelors,IT,345000,https://bahria.edu.pk/admissions,,IT/CS
Bahria University Karachi Campus,Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,345000,https://bahria.edu.pk/admissions,,IT/CS
Bahria University Karachi Campus,Karachi,Sindh,MS Computer Science,Masters,IT,345000,https://bahria.edu.pk/admissions,,IT/CS
Bahria University Karachi Campus,Karachi,Sindh,PhD Computer Science,PhD,IT,345000,https://bahria.edu.pk/admissions,,IT/CS
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BE Electrical Engineering,Bachelors,Engineering,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BE Mechanical Engineering,Bachelors,Engineering,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BE Civil Engineering,Bachelors,Engineering,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,MS Electrical Engineering,Masters,Engineering,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,PhD Engineering,PhD,Engineering,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BS Computer Science,Bachelors,IT,97749,https://www.muet.edu.pk/admissions,,IT/CS
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BS Software Engineering,Bachelors,IT,97749,https://www.muet.edu.pk/admissions,,Engineering
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BS Data Science,Bachelors,IT,97749,https://www.muet.edu.pk/admissions,,IT/CS
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,BS Artificial Intelligence,Bachelors,IT,97749,https://www.muet.edu.pk/admissions,,IT/CS
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,MS Computer Science,Masters,IT,97749,https://www.muet.edu.pk/admissions,,IT/CS
Mehran University of Engineering & Technology (MUET),Jamshoro,Sindh,PhD Computer Science,PhD,IT,97749,https://www.muet.edu.pk/admissions,,IT/CS
QUEST Nawabshah,Nawabshah,Sindh,BE Electrical Engineering,Bachelors,Engineering,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,BE Mechanical Engineering,Bachelors,Engineering,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,BE Civil Engineering,Bachelors,Engineering,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,MS Electrical Engineering,Masters,Engineering,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,PhD Engineering,PhD,Engineering,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,BS Computer Science,Bachelors,IT,97749,https://www.quest.edu.pk/admissions,,IT/CS
QUEST Nawabshah,Nawabshah,Sindh,BS Software Engineering,Bachelors,IT,97749,https://www.quest.edu.pk/admissions,,Engineering
QUEST Nawabshah,Nawabshah,Sindh,BS Data Science,Bachelors,IT,97749,https://www.quest.edu.pk/admissions,,IT/CS
QUEST Nawabshah,Nawabshah,Sindh,BS Artificial Intelligence,Bachelors,IT,97749,https://www.quest.edu.pk/admissions,,IT/CS
QUEST Nawabshah,Nawabshah,Sindh,MS Computer Science,Masters,IT,97749,https://www.quest.edu.pk/admissions,,IT/CS
QUEST Nawabshah,Nawabshah,Sindh,PhD Computer Science,PhD,IT,97749,https://www.quest.edu.pk/admissions,,IT/CS
Sukkur IBA University,Sukkur,Sindh,BS Computer Science,Bachelors,IT,161000,https://www.iba-suk.edu.pk/admissions,http://iba-suk.edu.pk,IT/CS
Sukkur IBA University,Sukkur,Sindh,BS Software Engineering,Bachelors,IT,161000,https://www.iba-suk.edu.pk/admissions,http://iba-suk.edu.pk,Engineering
Sukkur IBA University,Sukkur,Sindh,BS Data Science,Bachelors,IT,161000,https://www.iba-suk.edu.pk/admissions,http://iba-suk.edu.pk,IT/CS
Sukkur IBA University,Sukkur,Sindh,BS Artificial Intelligence,Bachelors,IT,161000,https://www.iba-suk.edu.pk/admissions,http://iba-suk.edu.pk,IT/CS
Sukkur IBA University,Sukkur,Sindh,MS Computer Science,Masters,IT,161000,https://www.iba-suk.edu.pk/admissions,http://iba-suk.edu.pk,IT/CS
Sukkur IBA University,Sukkur,Sindh,PhD Computer Science,PhD,IT,161000,https://www.iba-suk.edu.pk/admissions,http://iba-suk.edu.pk,IT/CS
UET Lahore,Lahore,Punjab,BE Electrical Engineering,Bachelors,Engineering,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,BE Mechanical Engineering,Bachelors,Engineering,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,BE Civil Engineering,Bachelors,Engineering,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,BSc Engineering (Computer/Software),Bachelors,Engineering,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,MS Electrical Engineering,Masters,Engineering,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,PhD Engineering,PhD,Engineering,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,BS Computer Science,Bachelors,IT,114999,https://admission.uet.edu.pk/,,IT/CS
UET Lahore,Lahore,Punjab,BS Software Engineering,Bachelors,IT,114999,https://admission.uet.edu.pk/,,Engineering
UET Lahore,Lahore,Punjab,BS Data Science,Bachelors,IT,114999,https://admission.uet.edu.pk/,,IT/CS
UET Lahore,Lahore,Punjab,BS Artificial Intelligence,Bachelors,IT,114999,https://admission.uet.edu.pk/,,IT/CS
UET Lahore,Lahore,Punjab,MS Computer Science,Masters,IT,114999,https://admission.uet.edu.pk/,,IT/CS
UET Lahore,Lahore,Punjab,PhD Computer Science,PhD,IT,114999,https://admission.uet.edu.pk/,,IT/CS
UET Taxila,Taxila,Punjab,BE Electrical Engineering,Bachelors,Engineering,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,BE Mechanical Engineering,Bachelors,Engineering,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,BE Civil Engineering,Bachelors,Engineering,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,BSc Engineering (Computer/Software),Bachelors,Engineering,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,MS Electrical Engineering,Masters,Engineering,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,PhD Engineering,PhD,Engineering,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,BS Computer Science,Bachelors,IT,114999,https://admissions.uettaxila.edu.pk/,,IT/CS
UET Taxila,Taxila,Punjab,BS Software Engineering,Bachelors,IT,114999,https://admissions.uettaxila.edu.pk/,,Engineering
UET Taxila,Taxila,Punjab,BS Data Science,Bachelors,IT,114999,https://admissions.uettaxila.edu.pk/,,IT/CS
UET Taxila,Taxila,Punjab,BS Artificial Intelligence,Bachelors,IT,114999,https://admissions.uettaxila.edu.pk/,,IT/CS
UET Taxila,Taxila,Punjab,MS Computer Science,Masters,IT,114999,https://admissions.uettaxila.edu.pk/,,IT/CS
UET Taxila,Taxila,Punjab,PhD Computer Science,PhD,IT,114999,https://admissions.uettaxila.edu.pk/,,IT/CS
FAST-NUCES Lahore,Lahore,Punjab,BE Electrical Engineering,Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,BE Mechanical Engineering,Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,BE Civil Engineering,Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,BSc Engineering (Computer/Software),Bachelors,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,MS Electrical Engineering,Masters,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,PhD Engineering,PhD,Engineering,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,BS Computer Science,Bachelors,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Lahore,Lahore,Punjab,BS Software Engineering,Bachelors,IT,459999,https://nu.edu.pk/admissions,,Engineering
FAST-NUCES Lahore,Lahore,Punjab,BS Data Science,Bachelors,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Lahore,Lahore,Punjab,BS Artificial Intelligence,Bachelors,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Lahore,Lahore,Punjab,MS Computer Science,Masters,IT,459999,https://nu.edu.pk/admissions,,IT/CS
FAST-NUCES Lahore,Lahore,Punjab,PhD Computer Science,PhD,IT,459999,https://nu.edu.pk/admissions,,IT/CS
LUMS,Lahore,Punjab,BE Electrical Engineering,Bachelors,Engineering,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,BE Mechanical Engineering,Bachelors,Engineering,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,BE Civil Engineering,Bachelors,Engineering,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,BSc Engineering (Computer/Software),Bachelors,Engineering,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,MS Electrical Engineering,Masters,Engineering,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,PhD Engineering,PhD,Engineering,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,BS Computer Science,Bachelors,IT,1265000,https://admissions.lums.edu.pk/,,IT/CS
LUMS,Lahore,Punjab,BS Software Engineering,Bachelors,IT,1265000,https://admissions.lums.edu.pk/,,Engineering
LUMS,Lahore,Punjab,BS Data Science,Bachelors,IT,1265000,https://admissions.lums.edu.pk/,,IT/CS
LUMS,Lahore,Punjab,BS Artificial Intelligence,Bachelors,IT,1265000,https://admissions.lums.edu.pk/,,IT/CS
LUMS,Lahore,Punjab,MS Computer Science,Masters,IT,1265000,https://admissions.lums.edu.pk/,,IT/CS
LUMS,Lahore,Punjab,PhD Computer Science,PhD,IT,1265000,https://admissions.lums.edu.pk/,,IT/CS
PUCIT (Punjab University),Lahore,Punjab,BS Computer Science,Bachelors,IT,132250,https://pucit.edu.pk/admissions,,IT/CS
PUCIT (Punjab University),Lahore,Punjab,BS Software Engineering,Bachelors,IT,132250,https://pucit.edu.pk/admissions,,Engineering
PUCIT (Punjab University),Lahore,Punjab,BS Data Science,Bachelors,IT,132250,https://pucit.edu.pk/admissions,,IT/CS
PUCIT (Punjab University),Lahore,Punjab,BS Artificial Intelligence,Bachelors,IT,132250,https://pucit.edu.pk/admissions,,IT/CS
PUCIT (Punjab University),Lahore,Punjab,MS Computer Science,Masters,IT,132250,https://pucit.edu.pk/admissions,,IT/CS
PUCIT (Punjab University),Lahore,Punjab,PhD Computer Science,PhD,IT,132250,https://pucit.edu.pk/admissions,,IT/CS
Information Technology University (ITU),Lahore,Punjab,BS Computer Science,Bachelors,IT,287500,https://itu.edu.pk/admissions,,IT/CS
Information Technology University (ITU),Lahore,Punjab,BS Software Engineering,Bachelors,IT,287500,https://itu.edu.pk/admissions,,Engineering
Information Technology University (ITU),Lahore,Punjab,BS Data Science,Bachelors,IT,287500,https://itu.edu.pk/admissions,,IT/CS
Information Technology University (ITU),Lahore,Punjab,BS Artificial Intelligence,Bachelors,IT,287500,https://itu.edu.pk/admissions,,IT/CS
Information Technology University (ITU),Lahore,Punjab,MS Computer Science,Masters,IT,287500,https://itu.edu.pk/admissions,,IT/CS
Information Technology University (ITU),Lahore,Punjab,PhD Computer Science,PhD,IT,287500,https://itu.edu.pk/admissions,,IT/CS
COMSATS Lahore,Lahore,Punjab,BE Electrical Engineering,Bachelors,Engineering,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,BE Mechanical Engineering,Bachelors,Engineering,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,BE Civil Engineering,Bachelors,Engineering,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,BSc Engineering (Computer/Software),Bachelors,Engineering,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,MS Electrical Engineering,Masters,Engineering,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,PhD Engineering,PhD,Engineering,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,BS Computer Science,Bachelors,IT,201249,https://lahore.comsats.edu.pk/admissions,,IT/CS
COMSATS Lahore,Lahore,Punjab,BS Software Engineering,Bachelors,IT,201249,https://lahore.comsats.edu.pk/admissions,,Engineering
COMSATS Lahore,Lahore,Punjab,BS Data Science,Bachelors,IT,201249,https://lahore.comsats.edu.pk/admissions,,IT/CS
COMSATS Lahore,Lahore,Punjab,BS Artificial Intelligence,Bachelors,IT,201249,https://lahore.comsats.edu.pk/admissions,,IT/CS
COMSATS Lahore,Lahore,Punjab,MS Computer Science,Masters,IT,201249,https://lahore.comsats.edu.pk/admissions,,IT/CS
COMSATS Lahore,Lahore,Punjab,PhD Computer Science,PhD,IT,201249,https://lahore.comsats.edu.pk/admissions,,IT/CS
University of Lahore (UOL),Lahore,Punjab,BE Electrical Engineering,Bachelors,Engineering,333500,https://uol.edu.pk/admissions,,Engineering
University of Lahore (UOL),Lahore,Punjab,BE Mechanical Engineering,Bachelors,Engineering,333500,https://uol.edu.pk/admissions,,Engineering
