program_id,university_id,university_name,province,city,program_name,degree_level,field_category,duration_years,eligibility,fee_per_year,required_traits,apply_url
fest_00052,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,MBA,Masters,Business,2,16-year degree + test/interview.,522500,"Leadership, Strategy, Communication",https://admissions.iobm.edu.pk/
fest_00053,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,MS Management Sciences,Masters,Business,2,16-year degree + GAT/test.,522500,"Research, Strategy, Quantitative",https://admissions.iobm.edu.pk/
fest_00054,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,PhD Management Sciences,PhD,Business,3,MS/MPhil + proposal.,522500,"Research, Persistence, Strategic",https://admissions.iobm.edu.pk/
fest_00055,szabist-khi,SZABIST Karachi,Sindh,Karachi,BE Electrical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,431249,"Quantitative, Practical, Problem-solving",https://szabist.edu.pk/admissions
fest_00056,szabist-khi,SZABIST Karachi,Sindh,Karachi,BE Mechanical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,431249,"Hands-on, Analytical, Systems-thinking",https://szabist.edu.pk/admissions
fest_00057,szabist-khi,SZABIST Karachi,Sindh,Karachi,BE Civil Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,431249,"Detail-oriented, Field-ready, Analytical",https://szabist.edu.pk/admissions
fest_00058,szabist-khi,SZABIST Karachi,Sindh,Karachi,BSc Engineering (Computer/Software),Bachelors,Engineering,4,Pre-Eng/ICS ≥60% + entry test.,431249,"Logical, Coding, Teamwork",https://szabist.edu.pk/admissions
fest_00059,szabist-khi,SZABIST Karachi,Sindh,Karachi,MS Electrical Engineering,Masters,Engineering,2,BE/BS Engg + GAT/test.,431249,"Research, Analytical, Design",https://szabist.edu.pk/admissions
fest_00060,szabist-khi,SZABIST Karachi,Sindh,Karachi,PhD Engineering,PhD,Engineering,3,MS/MPhil Engg + proposal.,431249,"Research, Innovation, Persistence",https://szabist.edu.pk/admissions
fest_00061,szabist-khi,SZABIST Karachi,Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,431249,"Analytical, Logical, Problem-solver",https://szabist.edu.pk/admissions
fest_00062,szabist-khi,SZABIST Karachi,Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,431249,"Detail-oriented, Teamwork, Coding",https://szabist.edu.pk/admissions
fest_00063,szabist-khi,SZABIST Karachi,Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,431249,"Quantitative, Curious, Analytical",https://szabist.edu.pk/admissions
fest_00064,szabist-khi,SZABIST Karachi,Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,431249,"Innovative, Analytical, Math-friendly",https://szabist.edu.pk/admissions
fest_00065,szabist-khi,SZABIST Karachi,Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,431249,"Research-minded, Persistent, Coding",https://szabist.edu.pk/admissions
fest_00066,szabist-khi,SZABIST Karachi,Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,431249,"Research, Persistence, Innovation",https://szabist.edu.pk/admissions
fest_00067,szabist-khi,SZABIST Karachi,Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,412500,"Leadership, Communication, Problem-solving",https://szabist.edu.pk/admissions
fest_00068,szabist-khi,SZABIST Karachi,Sindh,Karachi,BS Accounting & Finance,Bachelors,Business,4,Intermediate ≥50–60% + test.,412500,"Quantitative, Detail-oriented, Integrity",https://szabist.edu.pk/admissions
fest_00069,szabist-khi,SZABIST Karachi,Sindh,Karachi,BS Economics,Bachelors,Business,4,Intermediate ≥60% + test.,412500,"Analytical, Quantitative, Research-minded",https://szabist.edu.pk/admissions
fest_00070,szabist-khi,SZABIST Karachi,Sindh,Karachi,MBA,Masters,Business,2,16-year degree + test/interview.,412500,"Leadership, Strategy, Communication",https://szabist.edu.pk/admissions
fest_00071,szabist-khi,SZABIST Karachi,Sindh,Karachi,MS Management Sciences,Masters,Business,2,16-year degree + GAT/test.,412500,"Research, Strategy, Quantitative",https://szabist.edu.pk/admissions
fest_00072,szabist-khi,SZABIST Karachi,Sindh,Karachi,PhD Management Sciences,PhD,Business,3,MS/MPhil + proposal.,412500,"Research, Persistence, Strategic",https://szabist.edu.pk/admissions
fest_00073,pafkiet,PAF-KIET,Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,276000,"Analytical, Logical, Problem-solver",https://admissions.pafkiet.edu.pk/
fest_00074,pafkiet,PAF-KIET,Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,276000,"Detail-oriented, Teamwork, Coding",https://admissions.pafkiet.edu.pk/
fest_00075,pafkiet,PAF-KIET,Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,276000,"Quantitative, Curious, Analytical",https://admissions.pafkiet.edu.pk/
fest_00076,pafkiet,PAF-KIET,Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,276000,"Innovative, Analytical, Math-friendly",https://admissions.pafkiet.edu.pk/
fest_00077,pafkiet,PAF-KIET,Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,276000,"Research-minded, Persistent, Coding",https://admissions.pafkiet.edu.pk/
fest_00078,pafkiet,PAF-KIET,Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,276000,"Research, Persistence, Innovation",https://admissions.pafkiet.edu.pk/
fest_00079,pafkiet,PAF-KIET,Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,264000,"Leadership, Communication, Problem-solving",https://admissions.pafkiet.edu.pk/
fest_00080,pafkiet,PAF-KIET,Sindh,Karachi,BS Accounting & Finance,Bachelors,Business,4,Intermediate ≥50–60% + test.,264000,"Quantitative, Detail-oriented, Integrity",https://admissions.pafkiet.edu.pk/
fest_00081,pafkiet,PAF-KIET,Sindh,Karachi,BS Economics,Bachelors,Business,4,Intermediate ≥60% + test.,264000,"Analytical, Quantitative, Research-minded",https://admissions.pafkiet.edu.pk/
fest_00082,pafkiet,PAF-KIET,Sindh,Karachi,MBA,Masters,Business,2,16-year degree + test/interview.,264000,"Leadership, Strategy, Communication",https://admissions.pafkiet.edu.pk/
fest_00083,pafkiet,PAF-KIET,Sindh,Karachi,MS Management Sciences,Masters,Business,2,16-year degree + GAT/test.,264000,"Research, Strategy, Quantitative",https://admissions.pafkiet.edu.pk/
fest_00084,pafkiet,PAF-KIET,Sindh,Karachi,PhD Management Sciences,PhD,Business,3,MS/MPhil + proposal.,264000,"Research, Persistence, Strategic",https://admissions.pafkiet.edu.pk/
fest_00085,dsu,DHA Suffa University (DSU),Sindh,Karachi,BE Electrical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,356500,"Quantitative, Practical, Problem-solving",https://www.dsu.edu.pk/admissions
fest_00086,dsu,DHA Suffa University (DSU),Sindh,Karachi,BE Mechanical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,356500,"Hands-on, Analytical, Systems-thinking",https://www.dsu.edu.pk/admissions
fest_00087,dsu,DHA Suffa University (DSU),Sindh,Karachi,BE Civil Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,356500,"Detail-oriented, Field-ready, Analytical",https://www.dsu.edu.pk/admissions
fest_00088,dsu,DHA Suffa University (DSU),Sindh,Karachi,BSc Engineering (Computer/Software),Bachelors,Engineering,4,Pre-Eng/ICS ≥60% + entry test.,356500,"Logical, Coding, Teamwork",https://www.dsu.edu.pk/admissions
fest_00089,dsu,DHA Suffa University (DSU),Sindh,Karachi,MS Electrical Engineering,Masters,Engineering,2,BE/BS Engg + GAT/test.,356500,"Research, Analytical, Design",https://www.dsu.edu.pk/admissions
fest_00090,dsu,DHA Suffa University (DSU),Sindh,Karachi,PhD Engineering,PhD,Engineering,3,MS/MPhil Engg + proposal.,356500,"Research, Innovation, Persistence",https://www.dsu.edu.pk/admissions
fest_00091,dsu,DHA Suffa University (DSU),Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,356500,"Analytical, Logical, Problem-solver",https://www.dsu.edu.pk/admissions
fest_00092,dsu,DHA Suffa University (DSU),Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,356500,"Detail-oriented, Teamwork, Coding",https://www.dsu.edu.pk/admissions
fest_00093,dsu,DHA Suffa University (DSU),Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,356500,"Quantitative, Curious, Analytical",https://www.dsu.edu.pk/admissions
fest_00094,dsu,DHA Suffa University (DSU),Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,356500,"Innovative, Analytical, Math-friendly",https://www.dsu.edu.pk/admissions
fest_00095,dsu,DHA Suffa University (DSU),Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,356500,"Research-minded, Persistent, Coding",https://www.dsu.edu.pk/admissions
fest_00096,dsu,DHA Suffa University (DSU),Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,356500,"Research, Persistence, Innovation",https://www.dsu.edu.pk/admissions
fest_00097,dsu,DHA Suffa University (DSU),Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,341000,"Leadership, Communication, Problem-solving",https://www.dsu.edu.pk/admissions
fest_00098,dsu,DHA Suffa University (DSU),Sindh,Karachi,BS Accounting & Finance,Bachelors,Business,4,Intermediate ≥50–60% + test.,341000,"Quantitative, Detail-oriented, Integrity",https://www.dsu.edu.pk/admissions
fest_00099,dsu,DHA Suffa University (DSU),Sindh,Karachi,BS Economics,Bachelors,Business,4,Intermediate ≥60% + test.,341000,"Analytical, Quantitative, Research-minded",https://www.dsu.edu.pk/admissions
fest_00100,dsu,DHA Suffa University (DSU),Sindh,Karachi,MBA,Masters,Business,2,16-year degree + test/interview.,341000,"Leadership, Strategy, Communication",https://www.dsu.edu.pk/admissions
fest_00101,dsu,DHA Suffa University (DSU),Sindh,Karachi,MS Management Sciences,Masters,Business,2,16-year degree + GAT/test.,341000,"Research, Strategy, Quantitative",https://www.dsu.edu.pk/admissions
fest_00102,dsu,DHA Suffa University (DSU),Sindh,Karachi,PhD Management Sciences,PhD,Business,3,MS/MPhil + proposal.,341000,"Research, Persistence, Strategic",https://www.dsu.edu.pk/admissions
fest_00103,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BE Electrical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,322000,"Quantitative, Practical, Problem-solving",https://www.jinnah.edu.pk/admissions
fest_00104,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BE Mechanical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,322000,"Hands-on, Analytical, Systems-thinking",https://www.jinnah.edu.pk/admissions
fest_00105,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BE Civil Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,322000,"Detail-oriented, Field-ready, Analytical",https://www.jinnah.edu.pk/admissions
fest_00106,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BSc Engineering (Computer/Software),Bachelors,Engineering,4,Pre-Eng/ICS ≥60% + entry test.,322000,"Logical, Coding, Teamwork",https://www.jinnah.edu.pk/admissions
fest_00107,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,MS Electrical Engineering,Masters,Engineering,2,BE/BS Engg + GAT/test.,322000,"Research, Analytical, Design",https://www.jinnah.edu.pk/admissions
fest_00108,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,PhD Engineering,PhD,Engineering,3,MS/MPhil Engg + proposal.,322000,"Research, Innovation, Persistence",https://www.jinnah.edu.pk/admissions
fest_00109,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,322000,"Analytical, Logical, Problem-solver",https://www.jinnah.edu.pk/admissions
fest_00110,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,322000,"Detail-oriented, Teamwork, Coding",https://www.jinnah.edu.pk/admissions
fest_00111,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,322000,"Quantitative, Curious, Analytical",https://www.jinnah.edu.pk/admissions
fest_00112,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,322000,"Innovative, Analytical, Math-friendly",https://www.jinnah.edu.pk/admissions
fest_00113,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,322000,"Research-minded, Persistent, Coding",https://www.jinnah.edu.pk/admissions
fest_00114,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,322000,"Research, Persistence, Innovation",https://www.jinnah.edu.pk/admissions
fest_00115,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,308000,"Leadership, Communication, Problem-solving",https://www.jinnah.edu.pk/admissions
fest_00116,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BS Accounting & Finance,Bachelors,Business,4,Intermediate ≥50–60% + test.,308000,"Quantitative, Detail-oriented, Integrity",https://www.jinnah.edu.pk/admissions
fest_00117,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,BS Economics,Bachelors,Business,4,Intermediate ≥60% + test.,308000,"Analytical, Quantitative, Research-minded",https://www.jinnah.edu.pk/admissions
fest_00118,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,MBA,Masters,Business,2,16-year degree + test/interview.,308000,"Leadership, Strategy, Communication",https://www.jinnah.edu.pk/admissions
fest_00119,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,MS Management Sciences,Masters,Business,2,16-year degree + GAT/test.,308000,"Research, Strategy, Quantitative",https://www.jinnah.edu.pk/admissions
fest_00120,maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,PhD Management Sciences,PhD,Business,3,MS/MPhil + proposal.,308000,"Research, Persistence, Strategic",https://www.jinnah.edu.pk/admissions
fest_00121,iqra,Iqra University,Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,258749,"Analytical, Logical, Problem-solver",https://iqra.edu.pk/admissions
fest_00122,iqra,Iqra University,Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,258749,"Detail-oriented, Teamwork, Coding",https://iqra.edu.pk/admissions
fest_00123,iqra,Iqra University,Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,258749,"Quantitative, Curious, Analytical",https://iqra.edu.pk/admissions
fest_00124,iqra,Iqra University,Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,258749,"Innovative, Analytical, Math-friendly",https://iqra.edu.pk/admissions
fest_00125,iqra,Iqra University,Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,258749,"Research-minded, Persistent, Coding",https://iqra.edu.pk/admissions
fest_00126,iqra,Iqra University,Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,258749,"Research, Persistence, Innovation",https://iqra.edu.pk/admissions
fest_00127,iqra,Iqra University,Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,247500,"Leadership, Communication, Problem-solving",https://iqra.edu.pk/admissions
